,Carpenter,Bumble,Honey,Small,Wasps,Flies,Butterflies,Other,#Insects,#Counts
Appling,127,230,162,296,251,317,362,453,2198,93
Bacon,0,0,1,0,7,0,47,7,62,2
Baker,1,1,1,12,4,12,158,7,196,5
Baldwin,3,56,1,22,52,74,91,23,322,16
Banks,0,7,0,3,0,0,19,0,29,4
Barrow,52,50,32,97,67,104,176,163,741,25
Bartow,27,165,28,177,100,107,222,66,892,24
Berrien,1,57,63,139,231,69,73,111,744,17
Bibb,80,591,149,454,218,327,767,420,3006,98
Bleckley,1,6,23,12,7,7,11,5,72,2
Brooks,1,3,0,0,1,0,2,0,7,1
Bryan,64,10,17,19,69,20,132,19,350,6
Bulloch,12,21,11,51,47,58,127,57,384,15
Burke,0,0,2,0,3,1,3,2,11,2
Butts,3,8,0,4,22,6,40,7,90,7
Calhoun,10,92,20,90,33,37,40,114,436,6
Camden,12,42,52,54,52,66,78,39,395,17
Candler,0,0,0,0,0,0,10,11,21,1
Carroll,231,251,142,447,147,471,2453,842,4984,167
Catoosa,0,45,1,19,15,5,10,4,99,3
Chatham,308,527,284,646,452,401,452,405,3475,111
Chattooga,36,191,68,145,91,53,157,83,824,35
Cherokee,332,330,105,633,459,546,723,491,3619,156
Clarke,657,351,155,613,542,644,648,618,4228,207
Clayton,4,10,2,39,26,49,26,54,210,8
Cobb,865,442,263,795,291,490,1246,809,5201,235
Coffee,4,11,0,5,2,0,12,5,39,1
Colquitt,53,81,90,68,86,375,61,566,1380,53
Columbia,209,234,63,217,186,230,491,239,1869,69
Cook,1,0,1,0,2,4,2,1,11,1
Coweta,330,59,13,179,358,249,607,467,2262,72
Crawford,0,0,0,0,0,1,18,1,20,1
Crisp,0,0,4,3,3,3,10,8,31,3
Dade,2,5,4,147,4,25,43,18,248,7
Dawson,8,26,6,28,21,8,15,15,127,8
Decatur,26,16,1,7,18,40,18,44,170,7
DeKalb,2544,2566,2069,3327,2978,1472,3050,2365,20371,394
Dodge,0,1,0,0,5,8,3,3,20,1
Dooly,0,46,2,5,51,4,8,1,117,3
Dougherty,33,44,62,103,66,76,167,163,714,53
Douglas,132,95,17,137,111,81,577,166,1316,52
Early,0,6,2,2,0,1,0,0,11,1
Effingham,10,13,19,68,28,7,71,20,236,9
Emanuel,0,2,2,1,11,6,6,9,37,4
Evans,2,2,1,1,4,7,10,1,28,5
Fannin,23,210,67,377,306,214,275,251,1723,26
Fayette,105,33,25,378,78,369,918,296,2202,103
Floyd,48,87,47,136,106,149,225,303,1101,67
Forsyth,105,89,50,310,260,275,339,344,1772,98
Franklin,0,0,0,23,6,2,43,4,78,3
Fulton,1115,1680,1124,1519,760,966,1759,1376,10299,379
Gilmer,6,10,5,47,43,23,56,53,243,15
Glynn,99,23,14,77,70,91,61,145,580,17
Gordon,35,30,33,184,81,170,114,217,864,45
Grady,4,13,48,71,55,42,18,69,320,8
Greene,1,5,1,47,17,14,63,4,152,3
Gwinnett,1197,938,475,1138,842,986,2345,1594,9515,332
Habersham,6,8,7,49,81,13,102,31,297,13
Hall,300,233,80,284,152,215,1012,284,2560,103
Hancock,2,0,0,0,4,0,22,0,28,3
Haralson,4,6,0,4,12,7,78,5,116,4
