398,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
398,"t","Principal Vegetable Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value  by Crop – United States: 2017-2019 (continued)"
398,"h","","","","","","",""
398,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
398,"h","Crop","","","","","",""
398,"h","","2017","2018","2019","2017","2018","2019"
398,"h","","","","","","",""
398,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
398,"d","Artichokes (California)",-,-,-,936.0,1000.5,1008.0
398,"d","Asparagus",2.0,7.1,17.8,839.1,774.7,735.7
398,"d","Beans, green lima 1/",-,4.8,"(NA)",671.0,676.9,"(NA)"
398,"d","Beans, snap",36.7,28.3,17.4,18039.6,17045.2,16539.7
398,"d","Broccoli",-,-,-,20384.0,17273.0,17439.5
398,"d","Cabbage",31.0,188.2,87.4,23795.0,19218.3,21618.6
398,"d","Cantaloupes",2.8,4.2,7.2,15392.0,14602.8,12705.8
398,"d","Carrots",5.0,120.9,-,30996.0,45757.1,49802.5
398,"d","Cauliflower",24.1,8.3,8.9,9050.4,9492.7,10054.1
398,"d","Celery",44.5,16.4,15.7,16044.5,17499.6,15720.3
398,"d","",,,,,,
398,"d","Corn, sweet",305.0,78.4,467.7,75369.4,73381.3,62498.3
398,"d","Cucumbers",25.8,29.6,39.1,18887.0,15420.8,14905.6
398,"d","Garlic (California)",-,-,-,5115.0,5232.5,4185.0
398,"d","Honeydews (California)",-,-,-,3364.0,3844.0,2830.5
398,"d","Lettuce, head",-,-,-,49395.5,40561.0,41445.5
398,"d","Lettuce, leaf",-,-,-,13675.0,10728.0,12466.5
398,"d","Lettuce, romaine",-,203.6,195.2,36308.0,29029.4,27211.8
398,"d","Onions",1828.4,1514.7,1247.0,80560.6,70923.3,68645.5
398,"d","Pea, green",-,3.1,4.8,6012.4,5068.6,5032.8
398,"d","Peppers, bell",196.9,30.8,44.3,14193.1,12864.2,12090.2
398,"d","",,,,,,
398,"d","Peppers, chile",-,-,0.4,3336.0,2665.0,1643.6
398,"d","Pumpkins",319.0,279.7,229.8,15600.6,15127.2,13221.1
398,"d","Spinach",-,-,-,8090.6,8102.5,9606.0
398,"d","Squash",39.1,142.2,133.1,7970.0,7250.3,6992.4
398,"d","Sweet potatoes 2/ 4/","(NA)","(NA)",127.2,"(NA)","(NA)",31845.3
398,"d","Tomatoes",5599.3,2444.2,1459.8,240055.2,275626.8,237939.7
398,"d","Watermelons",495.2,196.2,326.4,40286.3,39148.8,36722.6
398,"d","",,,,,,
398,"d","Total 3/",8954.8,5300.7,4429.2,754366.3,758314.5,734906.6
398,"c",""
398,"c","See footnote(s) at end of table.","--continued"
