392,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
392,"t","Principal Vegetable Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value  by Crop – United States: 2017-2019 (continued)"
392,"h","","","","","","",""
392,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
392,"h","Crop","","","","","",""
392,"h","","2017","2018","2019","2017","2018","2019"
392,"h","","","","","","",""
392,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
392,"d","Artichokes (California)",130.0,145.0,140.0,936.0,1000.5,1008.0
392,"d","Asparagus",32.0,36.0,36.4,841.1,781.8,753.5
392,"d","Beans, green lima 1/",27.8,28.7,"(NA)",671.0,681.7,"(NA)"
392,"d","Beans, snap",85.2,79.9,87.3,18076.3,17073.5,16557.1
392,"d","Broccoli",158.5,151.7,156.3,20384.0,17273.0,17439.5
392,"d","Cabbage",393.2,358.1,367.3,23826.0,19406.5,21706.0
392,"d","Cantaloupes",243.4,240.6,239.4,15394.8,14607.0,12713.0
392,"d","Carrots",408.4,574.9,625.7,31001.0,45878.0,49802.5
392,"d","Cauliflower",198.1,211.6,221.2,9074.5,9501.0,10063.0
392,"d","Celery",505.9,580.0,560.0,16089.0,17516.0,15736.0
392,"d","",,,,,,
392,"d","Corn, sweet",162.9,154.9,161.2,75674.4,73459.7,62966.0
392,"d","Cucumbers",161.4,139.3,148.3,18912.8,15450.4,14944.7
392,"d","Garlic (California)",155.0,175.0,155.0,5115.0,5232.5,4185.0
392,"d","Honeydews (California)",290.0,310.0,255.0,3364.0,3844.0,2830.5
392,"d","Lettuce, head",351.1,337.2,362.0,49395.5,40561.0,41445.5
392,"d","Lettuce, leaf",203.5,163.3,217.6,13675.0,10728.0,12466.5
392,"d","Lettuce, romaine",309.3,293.5,311.8,36308.0,29233.0,27407.0
392,"d","Onions",543.8,558.9,540.1,82389.0,72438.0,69892.5
392,"d","Pea, green",44.8,38.7,39.3,6012.4,5071.7,5037.6
392,"d","Peppers, bell",341.0,324.8,316.8,14390.0,12895.0,12134.5
392,"d","",,,,,,
392,"d","Peppers, chile",208.5,187.7,161.2,3336.0,2665.0,1644.0
392,"d","Pumpkins",220.2,227.9,219.8,15919.6,15406.9,13450.9
392,"d","Spinach",125.0,131.9,146.0,8090.6,8102.5,9606.0
392,"d","Squash",174.5,165.0,163.8,8009.1,7392.5,7125.5
392,"d","Sweet potatoes 2/",224.0,190.0,217.9,35646.0,27378.0,31972.5
392,"d","Tomatoes",791.2,863.8,874.7,245654.5,278071.0,239399.5
392,"d","Watermelons",378.3,351.3,363.9,40781.5,39345.0,37049.0
392,"d","",,,,,,
392,"d","Total 3/","(X)","(X)","(X)",763321.1,763615.2,739335.8
392,"c",""
392,"c","See footnote(s) at end of table.","--continued"
