323,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
323,"t","Principal Vegetable Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value by Crop – United States: 2017-2019"
323,"h","","","","","","",""
323,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
323,"h","Crop","","","","","",""
323,"h","","2017","2018","2019","2017","2018","2019"
323,"h","","","","","","",""
323,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
323,"d","Artichokes (California)",7200,6900,7200,7200,6900,7200
323,"d","Asparagus",27600,22900,21900,26300,21700,20700
323,"d","Beans, green lima 1/",24550,25100,"(NA)",24100,23750,"(NA)"
323,"d","Beans, snap",221800,226900,196400,212100,213800,189700
323,"d","Broccoli",129600,114900,111900,128600,113900,111600
323,"d","Cabbage",62900,58300,61100,60600,54200,59100
323,"d","Cantaloupes",64900,62300,53500,63250,60700,53100
323,"d","Carrots",80200,80800,80300,75900,79800,79600
323,"d","Cauliflower",46700,45100,45700,45800,44900,45500
323,"d","Celery",32200,30400,28200,31800,30200,28100
323,"d","",,,,,,
323,"d","Corn, sweet",484800,495600,406400,464600,474100,390700
323,"d","Cucumbers",119100,114300,101700,117200,110900,100800
323,"d","Garlic (California)",33000,29900,27000,33000,29900,27000
323,"d","Honeydews (California)",11600,12400,11100,11600,12400,11100
323,"d","Lettuce, head",141500,120700,114900,140700,120300,114500
323,"d","Lettuce, leaf",67500,66800,57900,67200,65700,57300
323,"d","Lettuce, romaine",118000,101500,89800,117400,99600,87900
323,"d","Onions",154700,134800,132400,151500,129600,129400
323,"d","Pea, green",144700,141000,134500,134200,131100,128100
323,"d","Peppers, bell",43500,41600,39200,42200,39700,38300
323,"d","",,,,,,
323,"d","Peppers, chile",17100,14900,10600,16000,14200,10200
323,"d","Pumpkins",77200,75500,68200,72300,67600,61200
323,"d","Spinach",66150,62850,66800,64730,61450,65800
323,"d","Squash",47300,47400,45000,45900,44800,43500
323,"d","Sweet potatoes 2/",161600,150200,147500,159300,144400,146700
323,"d","Tomatoes",320900,330800,282000,310500,321900,273700
323,"d","Watermelons",115000,116800,106100,107800,112000,101800
323,"d","",,,,,,
323,"d","Total 3/",2659700,2580450,2447300,2572480,2485100,2382600
323,"c",""
323,"c","See footnote(s) at end of table.","--continued"
392,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
392,"t","Principal Vegetable Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value  by Crop – United States: 2017-2019 (continued)"
392,"h","","","","","","",""
392,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
392,"h","Crop","","","","","",""
392,"h","","2017","2018","2019","2017","2018","2019"
392,"h","","","","","","",""
392,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
392,"d","Artichokes (California)",130.0,145.0,140.0,936.0,1000.5,1008.0
392,"d","Asparagus",32.0,36.0,36.4,841.1,781.8,753.5
392,"d","Beans, green lima 1/",27.8,28.7,"(NA)",671.0,681.7,"(NA)"
392,"d","Beans, snap",85.2,79.9,87.3,18076.3,17073.5,16557.1
392,"d","Broccoli",158.5,151.7,156.3,20384.0,17273.0,17439.5
392,"d","Cabbage",393.2,358.1,367.3,23826.0,19406.5,21706.0
392,"d","Cantaloupes",243.4,240.6,239.4,15394.8,14607.0,12713.0
392,"d","Carrots",408.4,574.9,625.7,31001.0,45878.0,49802.5
392,"d","Cauliflower",198.1,211.6,221.2,9074.5,9501.0,10063.0
392,"d","Celery",505.9,580.0,560.0,16089.0,17516.0,15736.0
392,"d","",,,,,,
392,"d","Corn, sweet",162.9,154.9,161.2,75674.4,73459.7,62966.0
392,"d","Cucumbers",161.4,139.3,148.3,18912.8,15450.4,14944.7
392,"d","Garlic (California)",155.0,175.0,155.0,5115.0,5232.5,4185.0
392,"d","Honeydews (California)",290.0,310.0,255.0,3364.0,3844.0,2830.5
392,"d","Lettuce, head",351.1,337.2,362.0,49395.5,40561.0,41445.5
392,"d","Lettuce, leaf",203.5,163.3,217.6,13675.0,10728.0,12466.5
392,"d","Lettuce, romaine",309.3,293.5,311.8,36308.0,29233.0,27407.0
392,"d","Onions",543.8,558.9,540.1,82389.0,72438.0,69892.5
392,"d","Pea, green",44.8,38.7,39.3,6012.4,5071.7,5037.6
392,"d","Peppers, bell",341.0,324.8,316.8,14390.0,12895.0,12134.5
392,"d","",,,,,,
392,"d","Peppers, chile",208.5,187.7,161.2,3336.0,2665.0,1644.0
392,"d","Pumpkins",220.2,227.9,219.8,15919.6,15406.9,13450.9
392,"d","Spinach",125.0,131.9,146.0,8090.6,8102.5,9606.0
392,"d","Squash",174.5,165.0,163.8,8009.1,7392.5,7125.5
392,"d","Sweet potatoes 2/",224.0,190.0,217.9,35646.0,27378.0,31972.5
392,"d","Tomatoes",791.2,863.8,874.7,245654.5,278071.0,239399.5
392,"d","Watermelons",378.3,351.3,363.9,40781.5,39345.0,37049.0
392,"d","",,,,,,
392,"d","Total 3/","(X)","(X)","(X)",763321.1,763615.2,739335.8
392,"c",""
392,"c","See footnote(s) at end of table.","--continued"
398,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
398,"t","Principal Vegetable Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value  by Crop – United States: 2017-2019 (continued)"
398,"h","","","","","","",""
398,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
398,"h","Crop","","","","","",""
398,"h","","2017","2018","2019","2017","2018","2019"
398,"h","","","","","","",""
398,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
398,"d","Artichokes (California)",-,-,-,936.0,1000.5,1008.0
398,"d","Asparagus",2.0,7.1,17.8,839.1,774.7,735.7
398,"d","Beans, green lima 1/",-,4.8,"(NA)",671.0,676.9,"(NA)"
398,"d","Beans, snap",36.7,28.3,17.4,18039.6,17045.2,16539.7
398,"d","Broccoli",-,-,-,20384.0,17273.0,17439.5
398,"d","Cabbage",31.0,188.2,87.4,23795.0,19218.3,21618.6
398,"d","Cantaloupes",2.8,4.2,7.2,15392.0,14602.8,12705.8
398,"d","Carrots",5.0,120.9,-,30996.0,45757.1,49802.5
398,"d","Cauliflower",24.1,8.3,8.9,9050.4,9492.7,10054.1
398,"d","Celery",44.5,16.4,15.7,16044.5,17499.6,15720.3
398,"d","",,,,,,
398,"d","Corn, sweet",305.0,78.4,467.7,75369.4,73381.3,62498.3
398,"d","Cucumbers",25.8,29.6,39.1,18887.0,15420.8,14905.6
398,"d","Garlic (California)",-,-,-,5115.0,5232.5,4185.0
398,"d","Honeydews (California)",-,-,-,3364.0,3844.0,2830.5
398,"d","Lettuce, head",-,-,-,49395.5,40561.0,41445.5
