309,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
309,"t","Green Lima Beans for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019"
309,"t","[Dry edible beans are excluded. Estimates discontinued in 2019]"
309,"h","","","","","","",""
309,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
309,"h","State","","","","","",""
309,"h","","2017","2018","2019","2017","2018","2019"
309,"h","","","","","","",""
309,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
309,"d","California",3000,4800,"(NA)",2900,4800,"(NA)"
309,"d","Delaware",9600,8200,"(NA)",9500,7800,"(NA)"
309,"d","Illinois",1500,500,"(NA)",1400,450,"(NA)"
309,"d","Maryland",2200,2400,"(NA)",2200,2200,"(NA)"
309,"d","Oregon","(D)","(D)","(NA)","(D)","(D)","(NA)"
309,"d","Virginia",450,400,"(NA)",400,300,"(NA)"
309,"d","Washington",2200,2200,"(NA)",2200,2200,"(NA)"
309,"d","Wisconsin","(D)","(D)","(NA)","(D)","(D)","(NA)"
309,"d","",,,,,,
309,"d","Other States 1/",5600,6600,"(NA)",5500,6000,"(NA)"
309,"d","",,,,,,
309,"d","United States",24550,25100,"(NA)",24100,23750,"(NA)"
309,"h","","","","","","",""
309,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
309,"h","State","","","","","",""
309,"h","","2017","2018","2019","2017","2018","2019"
309,"h","","","","","","",""
309,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
309,"d","California",21.0,32.0,"(NA)",60.9,153.6,"(NA)"
309,"d","Delaware",26.0,23.0,"(NA)",247.0,179.4,"(NA)"
309,"d","Illinois",30.0,36.0,"(NA)",42.0,16.2,"(NA)"
309,"d","Maryland",35.0,30.0,"(NA)",77.0,66.0,"(NA)"
309,"d","Oregon","(D)","(D)","(NA)","(D)","(D)","(NA)"
309,"d","Virginia",7.0,19.0,"(NA)",2.8,5.7,"(NA)"
309,"d","Washington",50.0,42.0,"(NA)",110.0,92.4,"(NA)"
309,"d","Wisconsin","(D)","(D)","(NA)","(D)","(D)","(NA)"
309,"d","",,,,,,
309,"d","Other States 1/",24.0,28.0,"(NA)",131.3,168.4,"(NA)"
309,"d","",,,,,,
309,"d","United States",27.8,28.7,"(NA)",671.0,681.7,"(NA)"
309,"h","","","","","","",""
309,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
309,"h","State","","","","","",""
309,"h","","2017","2018","2019","2017","2018","2019"
309,"h","","","","","","",""
309,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
309,"d","California",-,-,"(NA)",60.9,153.6,"(NA)"
309,"d","Delaware",-,-,"(NA)",247.0,179.4,"(NA)"
309,"d","Illinois",-,-,"(NA)",42.0,16.2,"(NA)"
309,"d","Maryland",-,-,"(NA)",77.0,66.0,"(NA)"
309,"d","Oregon","(D)","(D)","(NA)","(D)","(D)","(NA)"
309,"d","Virginia",-,-,"(NA)",2.8,5.7,"(NA)"
309,"d","Washington",-,-,"(NA)",110.0,92.4,"(NA)"
309,"d","Wisconsin","(D)","(D)","(NA)","(D)","(D)","(NA)"
309,"d","",,,,,,
309,"d","Other States 1/",-,4.8,"(NA)",131.3,163.6,"(NA)"
309,"d","",,,,,,
309,"d","United States",-,4.8,"(NA)",671.0,676.9,"(NA)"
309,"c",""
309,"c","See footnote(s) at end of table.","--continued"
