313,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
313,"t","Green Lima Beans for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019 (continued)"
313,"t","[Dry edible beans are excluded. Estimates discontinued in 2019]"
313,"h","","","","","","",""
313,"h","","Price per cwt","Price per cwt","Price per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
313,"h","State","","","","","",""
313,"h","","2017","2018","2019","2017","2018","2019"
313,"h","","","","","","",""
313,"u","","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
313,"d","California",48.90,47.90,"(NA)",2981,7350,"(NA)"
313,"d","Delaware",28.80,31.20,"(NA)",7125,5597,"(NA)"
313,"d","Illinois",21.20,18.00,"(NA)",891,292,"(NA)"
313,"d","Maryland",27.70,28.00,"(NA)",2132,1851,"(NA)"
313,"d","Oregon","(D)","(D)","(NA)","(D)","(D)","(NA)"
313,"d","Virginia",100.00,90.00,"(NA)",280,513,"(NA)"
313,"d","Washington",31.40,27.50,"(NA)",3449,2541,"(NA)"
313,"d","Wisconsin","(D)","(D)","(NA)","(D)","(D)","(NA)"
313,"d","",,,,,,
313,"d","Other States 1/",20.10,21.30,"(NA)",2635,3478,"(NA)"
313,"d","",,,,,,
313,"d","United States",29.10,31.90,"(NA)",19493,21622,"(NA)"
313,"c",""
313,"f","-  Represents zero."
313,"f","(D)  Withheld to avoid disclosing data for individual operations."
313,"f","(NA)  Not available."
313,"f","1/ Includes data withheld above."
