100,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
100,"t","Green Lima Bean Production, Price, and Value by Utilization – States and United States: 2017-2019 (continued)"
100,"t","[Dry edible beans are excluded. Estimates discontinued in 2019]"
100,"h","","","","","","",""
100,"h","","Price per unit","Price per unit","Price per unit","Value of utilized production","Value of utilized production","Value of utilized production"
100,"h","Utilization and State","","","","","",""
100,"h","","2017","2018","2019","2017","2018","2019"
100,"h","","","","","","",""
100,"u","","(dollars per ton)","(dollars per ton)","(dollars per ton)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
100,"d","Processing",,,,,,
100,"d","California",979.00,957.00,"(NA)",2981,7350,"(NA)"
100,"d","Delaware","(D)","(D)","(NA)","(D)","(D)","(NA)"
100,"d","Illinois","(D)","(D)","(NA)","(D)","(D)","(NA)"
100,"d","Maryland","(D)","(D)","(NA)","(D)","(D)","(NA)"
100,"d","Oregon","(D)","(D)","(NA)","(D)","(D)","(NA)"
100,"d","Virginia","(X)","(X)","(NA)",-,-,"(NA)"
100,"d","Washington","(D)","(D)","(NA)","(D)","(D)","(NA)"
100,"d","Wisconsin","(D)","(D)","(NA)","(D)","(D)","(NA)"
100,"d","",,,,,,
100,"d","Other States 1/",519.00,526.00,"(NA)",15666,13590,"(NA)"
100,"d","",,,,,,
100,"d","United States",561.00,625.00,"(NA)",18647,20940,"(NA)"
100,"c",""
100,"f","-  Represents zero."
100,"f","(D)  Withheld to avoid disclosing data for individual operations."
100,"f","(NA)  Not available."
100,"f","(X)  Not applicable."
100,"f","1/ Includes data withheld above."
