189,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
189,"t","Snap Beans for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019"
189,"h","","","","","","",""
189,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
189,"h","State","","","","","",""
189,"h","","2017","2018","2019","2017","2018","2019"
189,"h","","","","","","",""
189,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
189,"d","California",7700,8000,7600,7600,7900,7500
189,"d","Delaware 1/",2200,1900,"(NA)",2200,1700,"(NA)"
189,"d","Florida",28000,29000,27000,27500,27600,26200
189,"d","Georgia",12500,12200,11000,10600,11900,10200
189,"d","Illinois",8000,9000,13000,7500,8800,11700
189,"d","Indiana 1/",2500,2700,"(NA)",2400,2600,"(NA)"
189,"d","Maryland 1/",3000,3000,"(NA)",3000,3000,"(NA)"
189,"d","Michigan",18300,21000,18600,17800,18200,17600
189,"d","Minnesota",4800,2900,3500,4700,2800,3400
189,"d","New Jersey 1/",2800,2900,"(NA)",2600,2700,"(NA)"
189,"d","",,,,,,
189,"d","New York",25000,28000,31000,24000,26300,30200
189,"d","North Carolina 1/",5100,5600,"(NA)",5000,4800,"(NA)"
189,"d","Oregon",11900,11600,12200,11900,11500,12200
189,"d","Pennsylvania",7500,8000,7500,7200,7400,7200
189,"d","Tennessee 1/",6400,7900,"(NA)",6300,7100,"(NA)"
189,"d","Texas 1/",6800,3000,"(NA)",6700,2800,"(NA)"
189,"d","Washington 1/",2700,3200,"(NA)",2600,3200,"(NA)"
189,"d","Wisconsin",66600,67000,65000,62500,63500,63500
189,"d","",,,,,,
189,"d","United States",221800,226900,196400,212100,213800,189700
189,"h","","","","","","",""
189,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
189,"h","State","","","","","",""
189,"h","","2017","2018","2019","2017","2018","2019"
189,"h","","","","","","",""
189,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
189,"d","California",105.0,115.0,95.0,798.0,908.5,712.5
189,"d","Delaware 1/",60.0,60.0,"(NA)",132.0,102.0,"(NA)"
189,"d","Florida",58.0,50.0,67.0,1595.0,1380.0,1755.4
189,"d","Georgia",61.0,47.0,60.0,646.6,559.3,612.0
189,"d","Illinois",80.0,91.0,74.0,600.0,800.8,865.8
189,"d","Indiana 1/",78.0,72.0,"(NA)",187.2,187.2,"(NA)"
189,"d","Maryland 1/",74.0,60.0,"(NA)",222.0,180.0,"(NA)"
189,"d","Michigan",100.0,75.0,91.0,1780.0,1365.0,1601.6
189,"d","Minnesota",105.0,77.0,95.0,493.5,215.6,323.0
189,"d","New Jersey 1/",39.0,44.0,"(NA)",101.4,118.8,"(NA)"
189,"d","",,,,,,
189,"d","New York",73.0,80.0,71.0,1752.0,2104.0,2144.2
189,"d","North Carolina 1/",37.0,45.0,"(NA)",185.0,216.0,"(NA)"
189,"d","Oregon",130.0,125.0,150.0,1547.0,1437.5,1830.0
189,"d","Pennsylvania",67.0,59.0,68.0,482.4,436.6,489.6
189,"d","Tennessee 1/",61.0,38.0,"(NA)",384.3,269.8,"(NA)"
189,"d","Texas 1/",60.0,70.0,"(NA)",402.0,196.0,"(NA)"
189,"d","Washington 1/",79.0,77.0,"(NA)",205.4,246.4,"(NA)"
189,"d","Wisconsin",105.0,100.0,98.0,6562.5,6350.0,6223.0
189,"d","",,,,,,
189,"d","United States",85.2,79.9,87.3,18076.3,17073.5,16557.1
189,"c",""
189,"c","See footnote(s) at end of table.","--continued"
