191,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
191,"t","Snap Beans for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019 (continued)"
191,"h","","","","","","",""
191,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
191,"h","State","","","","","",""
191,"h","","2017","2018","2019","2017","2018","2019"
191,"h","","","","","","",""
191,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
191,"d","California",1.6,-,-,796.4,908.5,712.5
191,"d","Delaware 1/",-,-,"(NA)",132.0,102.0,"(NA)"
191,"d","Florida",22.3,6.9,-,1572.7,1373.1,1755.4
191,"d","Georgia",-,-,-,646.6,559.3,612.0
191,"d","Illinois",-,-,-,600.0,800.8,865.8
191,"d","Indiana 1/",-,-,"(NA)",187.2,187.2,"(NA)"
191,"d","Maryland 1/",-,-,"(NA)",222.0,180.0,"(NA)"
191,"d","Michigan",1.8,-,1.6,1778.2,1365.0,1600.0
191,"d","Minnesota",4.9,0.2,0.3,488.6,215.4,322.7
191,"d","New Jersey 1/",-,1.2,"(NA)",101.4,117.6,"(NA)"
191,"d","",,,,,,
191,"d","New York",3.5,-,15.0,1748.5,2104.0,2129.2
191,"d","North Carolina 1/",0.7,1.7,"(NA)",184.3,214.3,"(NA)"
191,"d","Oregon",-,-,-,1547.0,1437.5,1830.0
191,"d","Pennsylvania",-,1.3,0.5,482.4,435.3,489.1
191,"d","Tennessee 1/",1.9,4.3,"(NA)",382.4,265.5,"(NA)"
191,"d","Texas 1/",-,-,"(NA)",402.0,196.0,"(NA)"
191,"d","Washington 1/",-,-,"(NA)",205.4,246.4,"(NA)"
191,"d","Wisconsin",-,12.7,-,6562.5,6337.3,6223.0
191,"d","",,,,,,
191,"d","United States",36.7,28.3,17.4,18039.6,17045.2,16539.7
191,"h","","","","","","",""
191,"h","","Price per cwt","Price per cwt","Price per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
191,"h","State","","","","","",""
191,"h","","2017","2018","2019","2017","2018","2019"
191,"h","","","","","","",""
191,"u","","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
191,"d","California",69.70,76.00,67.00,55532,69008,47766
191,"d","Delaware 1/",19.10,23.40,"(NA)",2522,2385,"(NA)"
191,"d","Florida",51.80,42.80,39.20,81453,58702,68866
191,"d","Georgia",31.10,50.10,45.20,20124,28025,27647
191,"d","Illinois",6.25,11.60,13.40,3750,9294,11588
191,"d","Indiana 1/",15.50,16.70,"(NA)",2893,3123,"(NA)"
191,"d","Maryland 1/",19.20,19.20,"(NA)",4264,3456,"(NA)"
191,"d","Michigan",14.60,15.80,16.00,25898,21520,25611
191,"d","Minnesota",6.45,21.90,20.70,3153,4714,6675
191,"d","New Jersey 1/",44.80,50.90,"(NA)",4539,5986,"(NA)"
191,"d","",,,,,,
191,"d","New York",20.50,16.20,18.00,35881,34023,38259
191,"d","North Carolina 1/",36.40,37.40,"(NA)",6704,8020,"(NA)"
191,"d","Oregon",17.70,16.40,14.30,27429,23596,26202
191,"d","Pennsylvania",21.20,18.50,17.60,10220,8057,8612
191,"d","Tennessee 1/",32.90,39.70,"(NA)",12580,10544,"(NA)"
191,"d","Texas 1/",9.00,29.20,"(NA)",3618,5723,"(NA)"
191,"d","Washington 1/",42.70,31.90,"(NA)",8770,7856,"(NA)"
191,"d","Wisconsin",6.11,7.55,6.79,40115,47877,42254
191,"d","",,,,,,
191,"d","United States",19.40,20.60,18.30,349445,351909,303480
191,"c",""
191,"f","-  Represents zero."
191,"f","(NA)  Not available."
191,"f","1/ Estimates discontinued in 2019."
