328,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
328,"t","Cantaloupe Production, Price, and Value by Utilization – States and United States: 2017-2019 (continued)"
328,"h","","","","","","",""
328,"h","","Price per unit","Price per unit","Price per unit","Value of utilized production","Value of utilized production","Value of utilized production"
328,"h","Utilization and State","","","","","",""
328,"h","","2017","2018","2019","2017","2018","2019"
328,"h","","","","","","",""
328,"u","","(dollars per ton)","(dollars per ton)","(dollars per ton)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
328,"d","Processing",,,,,,
328,"d","Arizona","(X)","(X)","(X)",-,-,-
328,"d","California","(X)","(X)","(X)",-,-,-
328,"d","Florida","(X)","(D)","(D)",-,"(D)","(D)"
328,"d","Georgia","(X)","(D)","(D)",-,"(D)","(D)"
328,"d","Indiana 1/","(X)","(X)","(NA)",-,-,"(NA)"
328,"d","North Carolina 1/","(X)","(X)","(NA)",-,-,"(NA)"
328,"d","Pennsylvania 1/","(X)","(X)","(NA)",-,-,"(NA)"
328,"d","South Carolina 1/","(X)","(D)","(NA)",-,"(D)","(NA)"
328,"d","Texas 1/","(X)","(X)","(NA)",-,-,"(NA)"
328,"d","",,,,,,
328,"d","Other States 2/","(X)","(X)","(X)",-,-,-
328,"d","",,,,,,
328,"d","United States","(X)","(X)","(X)",-,-,-
328,"c",""
328,"f","-  Represents zero."
328,"f","(D)  Withheld to avoid disclosing data for individual operations."
328,"f","(NA)  Not available."
328,"f","(X)  Not applicable."
328,"f","1/ Estimates discontinued in 2019."
328,"f","2/ Includes data withheld above."
