218,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
218,"t","Sweet Corn for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019"
218,"h","","","","","","",""
218,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
218,"h","State","","","","","",""
218,"h","","2017","2018","2019","2017","2018","2019"
218,"h","","","","","","",""
218,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
218,"d","California",34000,34000,34000,33500,33800,33600
218,"d","Delaware 1/",11000,11400,"(NA)",10800,11200,"(NA)"
218,"d","Florida",41700,42000,42000,39000,39700,41000
218,"d","Georgia",26000,30000,28000,25100,29000,26900
218,"d","Idaho 1/",4100,4100,"(NA)",3900,3900,"(NA)"
218,"d","Illinois",15000,15000,17000,14200,14600,15500
218,"d","Indiana 1/",4000,4500,"(NA)",3900,4100,"(NA)"
218,"d","Maryland 1/",7200,8300,"(NA)",7100,8100,"(NA)"
218,"d","Michigan 1/",9600,9700,"(NA)",9100,9100,"(NA)"
218,"d","Minnesota",120700,114400,103000,112600,110600,99100
218,"d","",,,,,,
218,"d","New Jersey 1/",6400,6500,"(NA)",6300,6400,"(NA)"
218,"d","New York",26700,30600,28000,25700,26600,26500
218,"d","Ohio 1/",9300,9800,"(NA)",9000,9100,"(NA)"
218,"d","Oregon",24000,29000,24000,23900,28900,23700
218,"d","Pennsylvania 1/",12400,13000,"(NA)",11600,10600,"(NA)"
218,"d","Washington",76000,74000,77000,74000,72000,75000
218,"d","Wisconsin",56700,59300,53400,54900,56400,49400
218,"d","",,,,,,
218,"d","United States",484800,495600,406400,464600,474100,390700
218,"h","","","","","","",""
218,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
218,"h","State","","","","","",""
218,"h","","2017","2018","2019","2017","2018","2019"
218,"h","","","","","","",""
218,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
218,"d","California",190.0,180.0,180.0,6365.0,6084.0,6048.0
218,"d","Delaware 1/",140.0,135.0,"(NA)",1512.0,1512.0,"(NA)"
218,"d","Florida",140.0,120.0,115.0,5460.0,4764.0,4715.0
218,"d","Georgia",160.0,150.0,120.0,4016.0,4350.0,3228.0
218,"d","Idaho 1/",110.0,90.0,"(NA)",429.0,351.0,"(NA)"
218,"d","Illinois",135.0,125.0,155.0,1917.0,1825.0,2402.5
218,"d","Indiana 1/",90.0,95.0,"(NA)",351.0,389.5,"(NA)"
218,"d","Maryland 1/",125.0,120.0,"(NA)",887.5,972.0,"(NA)"
218,"d","Michigan 1/",100.0,92.0,"(NA)",910.0,837.2,"(NA)"
218,"d","Minnesota",165.0,140.0,140.0,18579.0,15484.0,13874.0
218,"d","",,,,,,
218,"d","New Jersey 1/",97.0,87.0,"(NA)",611.1,556.8,"(NA)"
218,"d","New York",130.0,105.0,130.0,3341.0,2793.0,3445.0
218,"d","Ohio 1/",90.0,95.0,"(NA)",810.0,864.5,"(NA)"
218,"d","Oregon",190.0,205.0,205.0,4541.0,5924.5,4858.5
218,"d","Pennsylvania 1/",64.0,57.0,"(NA)",742.4,604.2,"(NA)"
218,"d","Washington",210.0,230.0,210.0,15540.0,16560.0,15750.0
218,"d","Wisconsin",176.0,170.0,175.0,9662.4,9588.0,8645.0
218,"d","",,,,,,
218,"d","United States",162.9,154.9,161.2,75674.4,73459.7,62966.0
218,"c",""
218,"c","See footnote(s) at end of table.","--continued"
