220,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
220,"t","Sweet Corn for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019 (continued)"
220,"h","","","","","","",""
220,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
220,"h","State","","","","","",""
220,"h","","2017","2018","2019","2017","2018","2019"
220,"h","","","","","","",""
220,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
220,"d","California",-,-,-,6365.0,6084.0,6048.0
220,"d","Delaware 1/",-,-,"(NA)",1512.0,1512.0,"(NA)"
220,"d","Florida",-,-,18.9,5460.0,4764.0,4696.1
220,"d","Georgia",80.3,4.3,177.5,3935.7,4345.7,3050.5
220,"d","Idaho 1/",1.3,3.5,"(NA)",427.7,347.5,"(NA)"
220,"d","Illinois",-,-,2.4,1917.0,1825.0,2400.1
220,"d","Indiana 1/",-,-,"(NA)",351.0,389.5,"(NA)"
220,"d","Maryland 1/",4.4,-,"(NA)",883.1,972.0,"(NA)"
220,"d","Michigan 1/",-,-,"(NA)",910.0,837.2,"(NA)"
220,"d","Minnesota",111.5,15.5,166.5,18467.5,15468.5,13707.5
220,"d","",,,,,,
220,"d","New Jersey 1/",3.7,13.9,"(NA)",607.4,542.9,"(NA)"
220,"d","New York",33.4,27.9,13.8,3307.6,2765.1,3431.2
220,"d","Ohio 1/",8.9,-,"(NA)",801.1,864.5,"(NA)"
220,"d","Oregon",-,-,19.4,4541.0,5924.5,4839.1
220,"d","Pennsylvania 1/",5.2,13.3,"(NA)",737.2,590.9,"(NA)"
220,"d","Washington",46.6,-,-,15493.4,16560.0,15750.0
220,"d","Wisconsin",9.7,-,69.2,9652.7,9588.0,8575.8
220,"d","",,,,,,
220,"d","United States",305.0,78.4,467.7,75369.4,73381.3,62498.3
220,"h","","","","","","",""
220,"h","","Price per cwt","Price per cwt","Price per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
220,"h","State","","","","","",""
220,"h","","2017","2018","2019","2017","2018","2019"
220,"h","","","","","","",""
220,"u","","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
220,"d","California",30.80,28.90,28.50,196042,175828,172368
220,"d","Delaware 1/",12.90,11.00,"(NA)",19439,16633,"(NA)"
220,"d","Florida",29.00,30.00,30.00,158340,142920,140883
220,"d","Georgia",25.00,25.70,24.60,98393,111684,75042
220,"d","Idaho 1/",27.00,35.00,"(NA)",11548,12163,"(NA)"
220,"d","Illinois",6.15,7.54,6.47,11792,13763,15532
220,"d","Indiana 1/",26.00,23.00,"(NA)",9126,8959,"(NA)"
220,"d","Maryland 1/",13.20,14.40,"(NA)",11647,13994,"(NA)"
220,"d","Michigan 1/",23.00,23.00,"(NA)",20930,19256,"(NA)"
220,"d","Minnesota",4.30,5.29,3.68,79361,81899,50431
220,"d","",,,,,,
220,"d","New Jersey 1/",30.20,25.50,"(NA)",18334,13868,"(NA)"
220,"d","New York",9.67,13.10,11.80,31992,36257,40422
220,"d","Ohio 1/",26.00,27.00,"(NA)",20829,23342,"(NA)"
220,"d","Oregon",7.99,7.51,7.87,36283,44492,38103
220,"d","Pennsylvania 1/",38.60,41.90,"(NA)",28488,24745,"(NA)"
220,"d","Washington",6.12,5.08,5.45,94772,84080,85806
220,"d","Wisconsin",4.65,4.19,3.90,44863,40181,33470
220,"d","",,,,,,
220,"d","United States",11.80,11.80,10.40,892179,864064,652057
220,"c",""
220,"f","-  Represents zero."
220,"f","(NA)  Not available."
220,"f","1/ Estimates discontinued in 2019."
