294,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
294,"t","Pumpkins for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019"
294,"h","","","","","","",""
294,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
294,"h","State","","","","","",""
294,"h","","2017","2018","2019","2017","2018","2019"
294,"h","","","","","","",""
294,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
294,"d","California",4500,5000,4800,4400,4900,4700
294,"d","Illinois",17900,12000,13100,17400,11000,10900
294,"d","Indiana",6100,5800,5200,6000,5500,5000
294,"d","Michigan",5300,5700,5800,4900,5400,5400
294,"d","Minnesota 1/",2000,1700,"(NA)",1800,1400,"(NA)"
294,"d","New Jersey 1/",2200,2100,"(NA)",2100,1700,"(NA)"
294,"d","New York",6100,6600,6600,5600,5700,5700
294,"d","North Carolina",2800,2900,3400,2700,2300,3100
294,"d","Ohio",3800,4000,3700,3500,3700,3500
294,"d","Oregon",2500,2600,2000,2500,2500,1900
294,"d","",,,,,,
294,"d","Pennsylvania",7300,7300,7200,6900,5700,6300
294,"d","Tennessee 1/",1500,1700,"(NA)",1400,1600,"(NA)"
294,"d","Texas",4600,5400,"(D)",4500,4900,"(D)"
294,"d","Virginia",3300,5800,5700,3200,5200,5600
294,"d","Washington",3300,2800,2900,2600,2400,2600
294,"d","Wisconsin",4000,4100,"(D)",2800,3700,"(D)"
294,"d","",,,,,,
294,"d","Other States 2/",-,-,7800,-,-,6500
294,"d","",,,,,,
294,"d","United States",77200,75500,68200,72300,67600,61200
294,"h","","","","","","",""
294,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
294,"h","State","","","","","",""
294,"h","","2017","2018","2019","2017","2018","2019"
294,"h","","","","","","",""
294,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
294,"d","California",330.0,275.0,255.0,1452.0,1347.5,1198.5
294,"d","Illinois",370.0,470.0,385.0,6438.0,5170.0,4196.5
294,"d","Indiana",160.0,230.0,245.0,960.0,1265.0,1225.0
294,"d","Michigan",155.0,190.0,150.0,759.5,1026.0,810.0
294,"d","Minnesota 1/",90.0,305.0,"(NA)",162.0,427.0,"(NA)"
294,"d","New Jersey 1/",95.0,65.0,"(NA)",199.5,110.5,"(NA)"
294,"d","New York",105.0,82.0,72.0,588.0,467.4,410.4
294,"d","North Carolina",210.0,110.0,230.0,567.0,253.0,713.0
294,"d","Ohio",170.0,180.0,125.0,595.0,666.0,437.5
294,"d","Oregon",180.0,270.0,315.0,450.0,675.0,598.5
294,"d","",,,,,,
294,"d","Pennsylvania",165.0,115.0,105.0,1138.5,655.5,661.5
294,"d","Tennessee 1/",89.0,73.0,"(NA)",124.6,116.8,"(NA)"
294,"d","Texas",195.0,330.0,"(D)",877.5,1617.0,"(D)"
294,"d","Virginia",225.0,205.0,165.0,720.0,1066.0,924.0
294,"d","Washington",180.0,125.0,170.0,468.0,300.0,442.0
294,"d","Wisconsin",150.0,66.0,"(D)",420.0,244.2,"(D)"
294,"d","",,,,,,
294,"d","Other States 2/","(X)","(X)",282.0,-,-,1834.0
294,"d","",,,,,,
294,"d","United States",220.2,227.9,219.8,15919.6,15406.9,13450.9
294,"c",""
294,"c","See footnote(s) at end of table.","--continued"
