246,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
246,"t","Tomatoes for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019"
246,"t","[Tomatillo and greenhouse tomatoes are excluded. Beginning in 2019 all grape tomatoes are included in estimates]"
246,"h","","","","","","",""
246,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
246,"h","State","","","","","",""
246,"h","","2017","2018","2019","2017","2018","2019"
246,"h","","","","","","",""
246,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
246,"d","California",256000,266000,255000,247700,260600,247700
246,"d","Florida",29000,29000,27000,28000,27000,26000
246,"d","Indiana 1/",8000,7800,"(NA)",7800,7600,"(NA)"
246,"d","Michigan 1/",5700,5200,"(NA)",5500,5000,"(NA)"
246,"d","New Jersey 1/",4100,4200,"(NA)",4000,4100,"(NA)"
246,"d","North Carolina 1/",3300,3500,"(NA)",3200,3000,"(NA)"
246,"d","Ohio 1/",5600,5500,"(NA)",5500,5400,"(NA)"
246,"d","South Carolina 1/",2900,3300,"(NA)",2800,3200,"(NA)"
246,"d","Tennessee 1/",3800,4200,"(NA)",3600,4000,"(NA)"
246,"d","Virginia 1/",2500,2100,"(NA)",2400,2000,"(NA)"
246,"d","",,,,,,
246,"d","United States",320900,330800,282000,310500,321900,273700
246,"h","","","","","","",""
246,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
246,"h","State","","","","","",""
246,"h","","2017","2018","2019","2017","2018","2019"
246,"h","","","","","","",""
246,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
246,"d","California",895.0,980.0,935.0,221691.5,255388.0,231599.5
246,"d","Florida",300.0,280.0,300.0,8400.0,7560.0,7800.0
246,"d","Indiana 1/",590.0,650.0,"(NA)",4602.0,4940.0,"(NA)"
246,"d","Michigan 1/",560.0,550.0,"(NA)",3080.0,2750.0,"(NA)"
246,"d","New Jersey 1/",280.0,230.0,"(NA)",1120.0,943.0,"(NA)"
246,"d","North Carolina 1/",330.0,290.0,"(NA)",1056.0,870.0,"(NA)"
246,"d","Ohio 1/",490.0,520.0,"(NA)",2695.0,2808.0,"(NA)"
246,"d","South Carolina 1/",370.0,360.0,"(NA)",1036.0,1152.0,"(NA)"
246,"d","Tennessee 1/",355.0,310.0,"(NA)",1278.0,1240.0,"(NA)"
246,"d","Virginia 1/",290.0,210.0,"(NA)",696.0,420.0,"(NA)"
246,"d","",,,,,,
246,"d","United States",791.2,863.8,874.7,245654.5,278071.0,239399.5
246,"c",""
246,"c","See footnote(s) at end of table.","--continued"
