248,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
248,"t","Tomatoes for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019 (continued)"
248,"t","[Tomatillo and greenhouse tomatoes are excluded. Beginning in 2019 all grape tomatoes are included in estimates]"
248,"h","","","","","","",""
248,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
248,"h","Utilization and State","","","","","",""
248,"h","","2017","2018","2019","2017","2018","2019"
248,"h","","","","","","",""
248,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
248,"d","California",5098.9,1532.3,1389.6,216592.6,253855.7,230209.9
248,"d","Florida",411.6,642.6,70.2,7988.4,6917.4,7729.8
248,"d","Indiana 1/",-,-,"(NA)",4602.0,4940.0,"(NA)"
248,"d","Michigan 1/",12.3,-,"(NA)",3067.7,2750.0,"(NA)"
248,"d","New Jersey 1/",1.1,226.3,"(NA)",1118.9,716.7,"(NA)"
248,"d","North Carolina 1/",57.0,6.1,"(NA)",999.0,863.9,"(NA)"
248,"d","Ohio 1/",-,-,"(NA)",2695.0,2808.0,"(NA)"
248,"d","South Carolina 1/",2.1,1.2,"(NA)",1033.9,1150.8,"(NA)"
248,"d","Tennessee 1/",12.8,24.8,"(NA)",1265.2,1215.2,"(NA)"
248,"d","Virginia 1/",3.5,10.9,"(NA)",692.5,409.1,"(NA)"
248,"d","",,,,,,
248,"d","United States",5599.3,2444.2,1459.8,240055.2,275626.8,237939.7
248,"h","","","","","","",""
248,"h","","Price per cwt","Price per cwt","Price per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
248,"h","Utilization and State","","","","","",""
248,"h","","2017","2018","2019","2017","2018","2019"
248,"h","","","","","","",""
248,"u","","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
248,"d","California",4.97,4.72,5.10,1075824,1197642,1174395
248,"d","Florida",32.80,49.70,55.10,262020,344131,425912
248,"d","Indiana 1/",6.63,6.38,"(NA)",30519,31530,"(NA)"
248,"d","Michigan 1/",11.70,12.90,"(NA)",35987,35352,"(NA)"
248,"d","New Jersey 1/",35.00,59.20,"(NA)",39202,42411,"(NA)"
248,"d","North Carolina 1/",46.20,39.20,"(NA)",46116,33845,"(NA)"
248,"d","Ohio 1/",18.00,18.60,"(NA)",48626,52173,"(NA)"
248,"d","South Carolina 1/",33.30,39.00,"(NA)",34429,44881,"(NA)"
248,"d","Tennessee 1/",48.80,44.60,"(NA)",61719,54176,"(NA)"
248,"d","Virginia 1/",62.80,67.90,"(NA)",43518,27774,"(NA)"
248,"d","",,,,,,
248,"d","United States",6.99,6.76,6.73,1677960,1863915,1600307
248,"c",""
248,"f","-  Represents zero."
248,"f","(NA)  Not available."
248,"f","1/ Estimates discontinued in 2019."
