county,carpenter,bumble,honey,small,wasps,flies,butterflies,other,insects,num_participants
Appling,127.0,230.0,162.0,296.0,251.0,317.0,362.0,453.0,2198.0,93.0
Bacon,0.0,0.0,1.0,0.0,7.0,0.0,47.0,7.0,62.0,2.0
Baker,1.0,1.0,1.0,12.0,4.0,12.0,158.0,7.0,196.0,5.0
Baldwin,3.0,56.0,1.0,22.0,52.0,74.0,91.0,23.0,322.0,16.0
Banks,0.0,7.0,0.0,3.0,0.0,0.0,19.0,0.0,29.0,4.0
Barrow,52.0,50.0,32.0,97.0,67.0,104.0,176.0,163.0,741.0,25.0
Bartow,27.0,165.0,28.0,177.0,100.0,107.0,222.0,66.0,892.0,24.0
Berrien,1.0,57.0,63.0,139.0,231.0,69.0,73.0,111.0,744.0,17.0
Bibb,80.0,591.0,149.0,454.0,218.0,327.0,767.0,420.0,3006.0,98.0
Bleckley,1.0,6.0,23.0,12.0,7.0,7.0,11.0,5.0,72.0,2.0
Brooks,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0
Bryan,64.0,10.0,17.0,19.0,69.0,20.0,132.0,19.0,350.0,6.0
Bulloch,12.0,21.0,11.0,51.0,47.0,58.0,127.0,57.0,384.0,15.0
Burke,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,11.0,2.0
Butts,3.0,8.0,0.0,4.0,22.0,6.0,40.0,7.0,90.0,7.0
Calhoun,10.0,92.0,20.0,90.0,33.0,37.0,40.0,114.0,436.0,6.0
Camden,12.0,42.0,52.0,54.0,52.0,66.0,78.0,39.0,395.0,17.0
Candler,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,21.0,1.0
Carroll,231.0,251.0,142.0,447.0,147.0,471.0,2453.0,842.0,4984.0,167.0
Catoosa,0.0,45.0,1.0,19.0,15.0,5.0,10.0,4.0,99.0,3.0
Chatham,308.0,527.0,284.0,646.0,452.0,401.0,452.0,405.0,3475.0,111.0
Chattooga,36.0,191.0,68.0,145.0,91.0,53.0,157.0,83.0,824.0,35.0
Cherokee,332.0,330.0,105.0,633.0,459.0,546.0,723.0,491.0,3619.0,156.0
Clarke,657.0,351.0,155.0,613.0,542.0,644.0,648.0,618.0,4228.0,207.0
Clayton,4.0,10.0,2.0,39.0,26.0,49.0,26.0,54.0,210.0,8.0
Cobb,865.0,442.0,263.0,795.0,291.0,490.0,1246.0,809.0,5201.0,235.0
Coffee,4.0,11.0,0.0,5.0,2.0,0.0,12.0,5.0,39.0,1.0
Colquitt,53.0,81.0,90.0,68.0,86.0,375.0,61.0,566.0,1380.0,53.0
Columbia,209.0,234.0,63.0,217.0,186.0,230.0,491.0,239.0,1869.0,69.0
Cook,1.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,11.0,1.0
Coweta,330.0,59.0,13.0,179.0,358.0,249.0,607.0,467.0,2262.0,72.0
Crawford,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,20.0,1.0
Crisp,0.0,0.0,4.0,3.0,3.0,3.0,10.0,8.0,31.0,3.0
Dade,2.0,5.0,4.0,147.0,4.0,25.0,43.0,18.0,248.0,7.0
Dawson,8.0,26.0,6.0,28.0,21.0,8.0,15.0,15.0,127.0,8.0
Decatur,26.0,16.0,1.0,7.0,18.0,40.0,18.0,44.0,170.0,7.0
DeKalb,2544.0,2566.0,2069.0,3327.0,2978.0,1472.0,3050.0,2365.0,20371.0,394.0
Dodge,0.0,1.0,0.0,0.0,5.0,8.0,3.0,3.0,20.0,1.0
Dooly,0.0,46.0,2.0,5.0,51.0,4.0,8.0,1.0,117.0,3.0
Dougherty,33.0,44.0,62.0,103.0,66.0,76.0,167.0,163.0,714.0,53.0
Douglas,132.0,95.0,17.0,137.0,111.0,81.0,577.0,166.0,1316.0,52.0
Early,0.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,11.0,1.0
Effingham,10.0,13.0,19.0,68.0,28.0,7.0,71.0,20.0,236.0,9.0
Emanuel,0.0,2.0,2.0,1.0,11.0,6.0,6.0,9.0,37.0,4.0
Evans,2.0,2.0,1.0,1.0,4.0,7.0,10.0,1.0,28.0,5.0
Fannin,23.0,210.0,67.0,377.0,306.0,214.0,275.0,251.0,1723.0,26.0
Fayette,105.0,33.0,25.0,378.0,78.0,369.0,918.0,296.0,2202.0,103.0
