st,ag_dist,cnty,num_owp,cv,id,lat,lon
Alabama,BLACK BELT,Autauga,8,99.95,AL,32.536382,–86.644490
Alabama,BLACK BELT,Bullock,2,99.95,AL,32.101759,–85.717261
Alabama,BLACK BELT,Dallas,7,99.95,AL,32.33354,–87.114356
Alabama,BLACK BELT,Elmore,11,99.95,AL,32.597229,–86.142739
Alabama,BLACK BELT,Greene,9,99.95,AL,32.844497,–87.964201
Alabama,BLACK BELT,Hale,1,99.95,AL,32.752796,–87.623061
Alabama,BLACK BELT,Lowndes,6,99.95,AL,32.147888,–86.650586
Alabama,BLACK BELT,Macon,16,99.95,AL,32.387027,–85.692887
Alabama,BLACK BELT,Marengo,3,99.95,AL,32.247591,–87.791091
Alabama,BLACK BELT,Montgomery,3,99.95,AL,32.203651,–86.203831
Alabama,BLACK BELT,Perry,3,99.95,AL,32.639005,–87.293827
Alabama,BLACK BELT,Sumter,3,99.95,AL,32.597481,–88.200057
Alabama,COASTAL PLAINS & GULF COAST,Baldwin,25,99.95,AL,30.659218,–87.746067
Alabama,COASTAL PLAINS & GULF COAST,Butler,10,99.95,AL,31.751667,–86.681969
Alabama,COASTAL PLAINS & GULF COAST,Choctaw,1,99.95,AL,31.991008,–88.248887
Alabama,COASTAL PLAINS & GULF COAST,Conecuh,5,99.95,AL,31.428293,–86.992029
Alabama,COASTAL PLAINS & GULF COAST,Escambia,9,99.95,AL,31.121748,–87.168429
Alabama,COASTAL PLAINS & GULF COAST,Mobile,28,99.95,AL,30.684573,–88.196568
Alabama,COASTAL PLAINS & GULF COAST,Monroe,16,99.95,AL,31.580332,–87.383266
Alabama,COASTAL PLAINS & GULF COAST,Washington,3,99.95,AL,31.406974,–88.202078
Alabama,MOUNTAINS & EASTERN VALLEY,Blount,18,99.95,AL,33.977448,–86.567246
Alabama,MOUNTAINS & EASTERN VALLEY,Calhoun,27,99.95,AL,33.771706,–85.822513
Alabama,MOUNTAINS & EASTERN VALLEY,Cherokee,13,99.95,AL,34.069515,–85.654242
Alabama,MOUNTAINS & EASTERN VALLEY,Cleburne,8,99.95,AL,33.671981,–85.516109
Alabama,MOUNTAINS & EASTERN VALLEY,Cullman,20,99.95,AL,34.131923,–86.869267
Alabama,MOUNTAINS & EASTERN VALLEY,Dekalb,4,99.95,AL,34.460929,–85.803992
Alabama,MOUNTAINS & EASTERN VALLEY,Etowah,20,99.95,AL,34.047638,–86.034420
Alabama,MOUNTAINS & EASTERN VALLEY,Jackson,7,99.95,AL,34.763522,–85.977400
Alabama,MOUNTAINS & EASTERN VALLEY,Marshall,11,99.95,AL,34.309564,–86.321668
Alabama,MOUNTAINS & EASTERN VALLEY,St. Clair,8,99.95,AL,33.712963,–86.315663
Alabama,NORTHERN VALLEY,Colbert,5,99.95,AL,34.703112,–87.801457
Alabama,NORTHERN VALLEY,Franklin,5,99.95,AL,34.441988,–87.842815
Alabama,NORTHERN VALLEY,Lauderdale,15,99.95,AL,34.904122,–87.650997
Alabama,NORTHERN VALLEY,Lawrence,12,99.95,AL,34.529776,–87.321865
Alabama,NORTHERN VALLEY,Limestone,41,99.95,AL,34.810239,–86.981400
Alabama,NORTHERN VALLEY,Madison,37,99.95,AL,34.764238,–86.551080
Alabama,NORTHERN VALLEY,Marion,3,99.95,AL,34.138219,–87.881551
Alabama,NORTHERN VALLEY,Morgan,3,99.95,AL,34.454484,–86.846402
Alabama,NORTHERN VALLEY,Winston,21,99.95,AL,34.155888,–87.364147
Alabama,UPPER PLAINS & PIEDMONT,Bibb,7,99.95,AL,33.015893,–87.127148
Alabama,UPPER PLAINS & PIEDMONT,Chambers,5,99.95,AL,32.917943,–85.391812
Alabama,UPPER PLAINS & PIEDMONT,Chilton,5,99.95,AL,32.85406,–86.726628
Alabama,UPPER PLAINS & PIEDMONT,Clay,7,99.95,AL,33.267809,–85.862051
Alabama,UPPER PLAINS & PIEDMONT,Coosa,2,99.95,AL,32.931445,–86.243482
Alabama,UPPER PLAINS & PIEDMONT,Fayette,17,99.95,AL,33.732249,–87.752049
Alabama,UPPER PLAINS & PIEDMONT,Jefferson,12,99.95,AL,33.553444,–86.896536
Alabama,UPPER PLAINS & PIEDMONT,Lamar,5,99.95,AL,33.787085,–88.087431
Alabama,UPPER PLAINS & PIEDMONT,Lee,4,99.95,AL,32.604064,–85.353048
Alabama,UPPER PLAINS & PIEDMONT,Pickens,3,99.95,AL,33.296809,–88.096878
Alabama,UPPER PLAINS & PIEDMONT,Randolph,9,99.95,AL,33.296475,–85.464068
Alabama,UPPER PLAINS & PIEDMONT,Shelby,17,99.95,AL,33.262937,–86.678104
Alabama,UPPER PLAINS & PIEDMONT,Talladega,7,99.95,AL,33.369277,–86.175805
Alabama,UPPER PLAINS & PIEDMONT,Tallapoosa,11,99.95,AL,32.863369,–85.799553
Alabama,UPPER PLAINS & PIEDMONT,Tuscaloosa,23,99.95,AL,33.290202,–87.522860
Alabama,UPPER PLAINS & PIEDMONT,Walker,8,99.95,AL,33.791571,–87.301092
Alabama,WIREGRASS,Barbour,3,99.95,AL,31.87067,–85.405456
Alabama,WIREGRASS,Coffee,12,99.95,AL,31.402183,–85.989201
Alabama,WIREGRASS,Covington,12,99.95,AL,31.243987,–86.448721
Alabama,WIREGRASS,Crenshaw,14,99.95,AL,31.732826,–86.319222
Alabama,WIREGRASS,Dale,13,99.95,AL,31.430654,–85.609476
Alabama,WIREGRASS,Geneva,8,99.95,AL,31.090866,–85.824346
Alabama,WIREGRASS,Henry,6,99.95,AL,31.516978,–85.239971
Alabama,WIREGRASS,Houston,17,99.95,AL,31.158193,–85.296398
Alabama,WIREGRASS,Pike,9,99.95,AL,31.798726,–85.941997
Alabama,WIREGRASS,Russell,3,99.95,AL,32.289811,–85.186980
Alaska,KENAI PENINSULA,Kenai Peninsula,24,4.1,AK,60.366373,–152.321973
Alaska,MATANUSKA-SUSITNA-ANCHORAGE,Anchorage,33,0.05,AK,61.177549,–149.274354
Alaska,TANANA VALLEY,Fairbanks North Star,29,4.1,AK,64.690832,–146.599867
Arizona,NORTHERN,Apache,7,62.7,AZ,35.385845,–109.493747
Arizona,NORTHERN,Coconino,6,62.7,AZ,35.829692,–111.773728
Arizona,NORTHERN,Gila,1,62.7,AZ,33.789618,–110.811870
Arizona,NORTHERN,Mohave,9,62.7,AZ,35.717705,–113.749689
Arizona,NORTHERN,Navajo,4,62.7,AZ,35.390934,–110.320908
Arizona,NORTHERN,Yavapai,21,62.7,AZ,34.630044,–112.573745
