year,state,chemical_type,chemical_name,chem_app(lbs),lb/acre/app(avg),lb/acre/yr(avg),num_app(avg),pct_area_treated(avg)
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)","81,600",2.007,3.131,1.6,9
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BENZOVINDIFLUPYR = 122305)","3,000",0.038,0.055,1.4,19
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","3,400",0.235,0.253,1.1,5
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","3,377,300",19.577,29.712,1.5,40
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","1,091,500",1.934,13.952,7.2,28
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CEREVISANE = 100055)","2,400",0.697,0.887,1.3,1
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)",200,0.386,0.564,1.5,0
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)","19,100",0.857,1.078,1.3,6
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","211,900",1.588,2.172,1.4,35
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)",700,0.05,0.087,1.8,3
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)","173,800",3.809,4.642,1.2,13
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER SULFATE = 24401)","2,000",0.194,0.268,1.4,3
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",300,0.044,0.047,1.1,2
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","30,900",0.183,0.398,2.2,28
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","10,100",0.065,0.133,2,27
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DODINE = 44301)","9,700",0.537,0.732,1.4,5
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENBUCONAZOLE = 129011)","10,200",0.175,0.35,2,10
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUAZINAM = 129098)","5,700",0.405,0.946,2.3,2
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","11,400",0.084,0.119,1.4,34
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","10,600",0.075,0.136,1.8,28
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","14,000",2.516,2.783,1.1,2
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KASUGAMYCIN = 230001)","2,200",0.078,0.095,1.2,8
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KRESOXIM-METHYL = 129111)",600,0.163,0.234,1.4,1
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","1,038,700",2.279,10.862,4.8,34
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",900,0.391,0.457,1.2,1
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","21,400",1.047,2.184,2.1,3
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","6,300",0.128,0.185,1.4,12
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXYTETRACYCLINE CALC = 6321)","2,200",0.182,0.22,1.2,4
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","7,800",0.236,0.298,1.3,9
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)",100,0.087,0.128,1.5,0
