state,area_planted(acres),area_harvested(acres),pct_harvest_success(acres)
Alabama,,,
Arizona,124300.0,123900.0,1.0
California,985600.0,972400.0,0.99
Colorado,3200.0,2700.0,0.84
Delaware,,,
Florida,175500.0,170700.0,0.97
Georgia,96600.0,92900.0,0.96
Idaho,11000.0,10900.0,0.99
Illinois,43100.0,38100.0,0.88
Indiana,11700.0,11100.0,0.95
Maryland,,,
Michigan,90100.0,87200.0,0.97
Minnesota,160500.0,154300.0,0.96
Mississippi,28000.0,27500.0,0.98
Missouri,,,
New Jersey,11200.0,10600.0,0.95
New Mexico,15700.0,15300.0,0.97
New York,90100.0,86300.0,0.96
North Carolina,127700.0,126300.0,0.99
Ohio,3700.0,3500.0,0.95
Oregon,80700.0,79000.0,0.98
Pennsylvania,14700.0,13500.0,0.92
South Carolina,5000.0,4500.0,0.9
Tennessee,,,
Texas,54000.0,50100.0,0.93
Virginia,5700.0,5600.0,0.98
Washington,144900.0,140300.0,0.97
Wisconsin,164300.0,155900.0,0.95
Other States,,,
United States,2447300.0,2382600.0,0.97
