st;state;lat;lon
DC;Districtof Columbia;38.91803061945646;-77.01920351802747
RI;RhodeIsland;41.701656439478825;-71.59656621514601
DE;Delaware;38.8293;-75.4103
CT;Connecticut;41.62693733486259;-72.72551036628718
NJ;New Jersey;39.7482;-74.71719999999999
VT;Vermont;44.07584316623703;-72.6667745088536
NH;New Hampshire;43.68855038163541;-71.57941003986032
MA;Massachusetts;42.27316573467924;-71.82247891793874
MD;Maryland;39.068108489321794;-76.8041242395813
IN;Indiana;39.908242010611936;-86.27780424855665
TN;Tennessee;35.8405;-86.03130000000002
PA;Pennsylvania;40.8756160603517;-77.80130506259482
SC;South Carolina;33.91932840632243;-80.90014732341417
OH;Ohio;40.20225;-83.03435
WV;West Virginia;38.647228164631585;-80.61114910869742
AL;Alabama;32.62795;-86.7039
MS;Mississippi;32.76508459245234;-89.67090399726337
AR;Arkansas;34.90455284721191;-92.44423434345124
HI;Hawaii;19.61199960349642;-155.50959779051513
ME;Maine;45.40357610737186;-69.24279286713801
KY;Kentucky;37.53185658272205;-85.28485976209849
IA;Iowa;42.087728229017635;-93.49523421269204
LA;Louisiana;31.502925000000005;-92.53042500000001
IL;Illinois;40.06756767095188;-89.20096125839582
GA;Georgia;32.6599387042144;-83.4576634089293
KS;Kansas;38.5012;-98.32130000000001
ND;North Dakota;47.468;-100.29515
NC;North Carolina;35.55830506554627;-79.41394679455392
VA;Virginia;37.52805146993761;-78.88523943082286
UT;Utah;38.874475;-110.919975
SD;South Dakota;44.44089439343866;-100.222258649233
NE;Nebraska;41.5012;-99.6877
WA;Washington;47.37501381328095;-120.41463002268512
WI;Wisconsin;44.6395563216397;-90.02802452662037
WY;Wyoming;43.001000000000005;-107.53655
CO;Colorado;39.0009;-105.52975
OK;Oklahoma;35.589588848229965;-97.51158088247396
MO;Missouri;38.30865;-92.44375
AZ;Arizona;34.29154109885339;-111.66014364472393
OR;Oregon;43.94072820797267;-120.54477845941786
NM;New Mexico;34.42201886765881;-106.11076166403369
NY;New York;43.41015;-74.97725000000001
NV;Nevada;39.355611451414;-116.6521251505638
ID;Idaho;43.92281250000001;-115.27938750000001
MN;Minnesota;46.802231250000006;-94.65823124999999
FL;Florida;27.70068125;-81.37233124999999
MI;Michigan;43.7481;-84.816
MT;Montana;47.03152740715939;-109.62533188938667
CA;California;35.4919625;-117.8628625
TX;Texas;31.505391061251384;-99.35698083967259
AK;Alaska;65.68838749999999;-155.0899625
